Timestamp,j1,j2,j3,j4,j5,j6,Herramienta,Cinta_Estado,Sensor_1,Sensor_2
2026-05-22 13:59:34.468,0.8393749037148592,-0.9897827550120183,0.5203534310177638,-0.030586962167920007,-1.1398403789888243,0.029238288559620074,Abierta,PARADA,HIGH,HIGH
2026-05-22 13:59:38.681,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32989852298520583,0.004694595953449898,Abierta,PARADA,HIGH,HIGH
2026-05-22 13:59:41.599,-0.6795083498087182,-0.380774547138125,-0.29923224176774954,-0.20852873356265444,-1.0846170706249407,-0.598159853685607,Abierta,PARADA,HIGH,HIGH
2026-05-22 13:59:42.835,-0.6901618395628915,-0.47015634879125867,-0.3204414828379847,-0.23153844538093882,-1.098422897715912,-0.5843540265946365,Abierta,PARADA,HIGH,HIGH
2026-05-22 13:59:44.373,-0.6901618395628915,-0.47015634879125867,-0.3204414828379847,-0.23460640695671042,-1.0953549361401405,-0.5828200458067507,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 13:59:45.581,-0.6795083498087182,-0.380774547138125,-0.3007471875584806,-0.2115966951384256,-1.090752993776484,-0.598159853685607,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 13:59:47.642,-0.7206003817176727,-0.6989131631916513,0.099198501194524,-0.02138307744060608,-0.9665005499577464,-0.8865482418081077,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 13:59:48.550,-0.7601704865188883,-0.730727024797004,0.029510994820894476,-0.022917058228491882,-0.8606558755936375,-0.8742763955050226,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 13:59:49.760,-0.7601704865188883,-0.730727024797004,0.029510994820894476,-0.03212094295580581,-0.8514519908663236,-0.8788783378686795,Abierta,PARADA,HIGH,HIGH
2026-05-22 13:59:50.983,-0.7206003817176727,-0.6504348978882569,0.24008845973251436,0.009296538317106862,-1.159782129231338,-0.8420627989594243,Abierta,PARADA,HIGH,HIGH
2026-05-22 13:59:54.440,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.0075772503496351895,-0.3314325037730912,-0.002975307985978226,Abierta,PARADA,HIGH,HIGH
2026-05-22 13:59:54.542,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.0075772503496351895,-0.3314325037730912,-0.002975307985978226,Abierta,ENCENDIDA,HIGH,HIGH
